codigo_postal;municipio;poblacion;indice_mujeres;grado_juventud;proporcion_dependencia(%);extranjeros_censados(%);tasa_paro(%);pib_pc;centros_salud_10000;densidad_poblacional(hab/km2);n_discotecas;media_de_edad;indice_de_criminalidad;num_sin_estudios;num_secundaria;num_superior;DelitosLibSex_24;;;;;;;;;;;;;;;;;;;;;;;
27700;Ribadeo;9978;52.88;19.24;51.03;14.98;4.22;16881;1;124.73;1;46;18.32;439;1112;2504;;;;;;;;;;;;;;;;;;;;;;;;
15960;Ribeira;27111;50.55;25.54;45.83;16.82;3.97;19624;0.37;1355.56;2;40;24.86;1353;13924;6472;;;;;;;;;;;;;1109;0;2;33;0;12;18;71;247;6;3;717
15160;Sada;17140;51.43;18.75;43.93;13.78;4.47;14650;0.58;625.54;1;42;28;466;7445;4736;;;;;;;;;;;;;;;;;;;;;;;;
15701;Santiago_de_Compostela;99536;53.13;20.89;43.15;12.36;3.83;36229;1.21;451;7;36;50.8;2402;38310;23232;;;;;;;;;;;;;3981;2;4;47;0;61;50;263;1379;17;30;2128
27600;Sarria;13459;51.22;20.4;50.26;13.74;4.21;19470;0.74;244.71;1;45;30;927;5877;2777;;;;;;;;;;;;;;;;;;;;;;;;
15883;Teo;19045;51.05;23.89;43.92;13.11;3.13;13666;0.53;1269.67;1;44;17.55;263;8342;4893;;;;;;;;;;;;;;;;;;;;;;;;
15552;Valdoviño;6857;51.3;17.03;52.93;10.48;4;11757;1.46;139.2;0;43;20;277;3613;1840;;;;;;;;;;;;;;;;;;;;;;;;
27800;Vilalba;13787;51.75;20.2;53.04;20.56;3.18;22591;0.73;211.66;1;46;22;1766;5836;2418;;;;;;;;;;;;;;;;;;;;;;;;
27850;Viveiro;15217;50.83;23.61;47.85;12.84;5.3;19532;0.66;176.9;1;43;23;769;6592;3502;;;;;;;;;;;;;;;;;;;;;;;;
27870;Xove;3327;47.75;20.11;57.25;1.68;2.62;24187;3;195.71;0;50;25;255;1488;605;;;;;;;;;;;;;;;;;;;;;;;;
32001;Ourense;104891;52.13;21.39;49.46;9.83;12.52;22559;0.67;327;6;46.8;44.4;4461;44310;26672;;;;;;;;;;;;;;;;;;;;;;;;
36940;Cangas;26714;51.12;20.93;48.67;4.58;11.11;13663;1.12;566;3;47.7;35.7;1239;11419;6.559;;;;;;;;;;;;;;;;;;;;;;;;
36680;A_Estrada;20139;50.14;22.39;48.82;4.18;9.2;14557;0.99;61;1;47.6;29.5;1157;8874;4060;;;;;;;;;;;;;;;;;;;;;;;;
36500;Lalin;20277;49.19;21.89;48.34;11.83;9.55;17587;1.49;65;2;46.3;31.9;1649;9522;3605;;;;;;;;;;;;;;;;;;;;;;;;
36900;Marin;24154;52.12;21.37;48.98;3.87;9.98;18615;0.82;652;2;47;39.4;1166;11142;5229;;;;;;;;;;;;;;;;;;;;;;;;
36860;Ponteareas;23196;51.19;21.73;48.7;6.64;13.26;13873;1.3;289;1;46.6;31.6;1349;11715;4289;;;;;;;;;;;;;;;;;;;;;;;;
36001;Pontevedra;83977;52.23;20.33;47.67;6.59;11.25;24093;0.69;649;5;47;44.8;1790;34126;25236;;;;;;;;;;;;;;;;;;;;;;;;
36400;O_Porrino;20711;50.1;22.18;49.11;12.99;12.2;51145;1.46;438;2;44.9;36.8;1108;9921;3778;;;;;;;;;;;;;;;;;;;;;;;;
36800;Redondela;28976;51.25;22.92;49.57;4.45;11.66;17520;1.03;392;2;46.8;31.7;1548;14134;5588;;;;;;;;;;;;;;;;;;;;;;;;
36201;Vigo;293977;52.31;19.82;47.05;6.85;12.19;24081;0.68;1764;15;45.5;45.9;8200;122677;82862;;;;;;;;;;;;;;;;;;;;;;;;
36600;Vilagarcia_de_Arousa;37761;52.12;21.71;48.45;7.47;13.3;18235;1.07;628;3;46.6;39;451;18987;8572;;;;;;;;;;;;;;;;;;;;;;;;
